,その他,出生,区名,増減人口,差,差.1,日付,死亡,転入,転出
8,-2,33,大正区,-55,-42,-13,2016-05-01,75,283,294
9,-7,59,天王寺区,312,14,298,2016-05-01,45,933,628
10,-11,44,浪速区,236,-3,239,2016-05-01,47,1213,963
11,-5,57,西淀川区,110,-11,121,2016-05-01,68,565,439
12,-18,120,淀川区,495,3,492,2016-05-01,117,1805,1295
13,7,120,東淀川区,196,-26,222,2016-05-01,146,1356,1141
14,-11,56,東成区,138,-16,154,2016-05-01,72,692,527
15,-9,68,生野区,314,-82,396,2016-05-01,150,1150,745
16,-6,51,旭区,104,-19,123,2016-05-01,70,568,439
17,-5,90,城東区,118,-39,157,2016-05-01,129,1096,934
18,-2,89,鶴見区,-5,7,-12,2016-05-01,82,610,620
19,-17,79,阿倍野区,238,-6,244,2016-05-01,85,970,709
20,0,68,住之江区,-1,-33,32,2016-05-01,101,560,528
21,1,115,住吉区,209,-16,225,2016-05-01,131,983,759
22,-9,69,東住吉区,138,-59,197,2016-05-01,128,794,588
23,-15,123,平野区,-97,-78,-19,2016-05-01,201,878,882
24,-16,34,西成区,184,-188,372,2016-05-01,222,929,541
0,-177,1992,総数,472,-388,860,2016-06-01,2380,14988,13951
1,-10,105,北区,51,32,19,2016-06-01,73,1030,1001
2,-4,82,都島区,94,-1,95,2016-06-01,83,578,479
3,-2,74,福島区,140,36,104,2016-06-01,38,514,408
4,2,46,此花区,2,-14,16,2016-06-01,60,275,261
5,-40,83,中央区,167,24,143,2016-06-01,59,1171,988
6,-6,115,西区,194,63,131,2016-06-01,52,901,764
7,-6,50,港区,-43,-31,-12,2016-06-01,81,328,334
8,0,35,大正区,-6,-47,41,2016-06-01,82,223,182
9,5,69,天王寺区,190,24,166,2016-06-01,45,575,414
10,-6,53,浪速区,10,-12,22,2016-06-01,65,830,802
11,-9,75,西淀川区,-17,6,-23,2016-06-01,69,356,370
12,-11,147,淀川区,285,28,257,2016-06-01,119,1233,965
13,-10,124,東淀川区,-120,-30,-90,2016-06-01,154,898,978
14,-8,60,東成区,-8,-21,13,2016-06-01,81,469,448
15,-2,72,生野区,-4,-74,70,2016-06-01,146,638,566
16,-4,67,旭区,-62,-20,-42,2016-06-01,87,369,407
17,4,122,城東区,-15,-27,12,2016-06-01,149,815,807
18,-1,102,鶴見区,-3,24,-27,2016-06-01,78,423,449
19,-22,81,阿倍野区,-83,-7,-76,2016-06-01,88,497,551
20,-2,59,住之江区,-95,-54,-41,2016-06-01,113,402,441
21,-1,90,住吉区,1,-34,35,2016-06-01,124,642,606
22,-15,78,東住吉区,-80,-44,-36,2016-06-01,122,536,557
23,-9,148,平野区,-28,-49,21,2016-06-01,197,680,650
24,-20,55,西成区,-98,-160,62,2016-06-01,215,605,523
0,-216,1857,総数,1096,-245,1341,2016-07-01,2102,14079,12522
1,-8,100,北区,125,46,79,2016-07-01,54,935,848
2,-3,69,都島区,83,8,75,2016-07-01,61,552,474
3,-1,62,福島区,88,31,57,2016-07-01,31,435,377
4,0,43,此花区,-73,5,-78,2016-07-01,38,208,286
5,-36,102,中央区,136,53,83,2016-07-01,49,1020,901
6,-27,110,西区,149,63,86,2016-07-01,47,816,703
7,-12,45,港区,-94,-27,-67,2016-07-01,72,291,346
8,-7,44,大正区,8,-4,12,2016-07-01,48,213,194
9,-2,63,天王寺区,105,17,88,2016-07-01,46,535,445
10,-11,44,浪速区,-27,-5,-22,2016-07-01,49,757,768
11,-11,68,西淀川区,41,-6,47,2016-07-01,74,387,329
12,-16,142,淀川区,176,4,172,2016-07-01,138,1030,842
13,-11,112,東淀川区,-37,-17,-20,2016-07-01,129,807,816
14,-9,49,東成区,64,-14,78,2016-07-01,63,486,399
15,-6,78,生野区,-21,-61,40,2016-07-01,139,619,573
16,-2,54,旭区,4,-36,40,2016-07-01,90,340,298
17,-1,105,城東区,144,-19,163,2016-07-01,124,725,561
18,2,75,鶴見区,14,-3,17,2016-07-01,78,395,380
19,0,84,阿倍野区,86,1,85,2016-07-01,83,485,400
20,-3,54,住之江区,-90,-70,-20,2016-07-01,124,365,382
21,-3,98,住吉区,168,-25,193,2016-07-01,123,818,622
22,-5,81,東住吉区,63,-33,96,2016-07-01,114,604,503
23,-23,133,平野区,57,-7,64,2016-07-01,140,655,568
24,-21,42,西成区,-73,-146,73,2016-07-01,188,601,507
